velx,vely,velz,posx,posy,posz
54.990,-32.244,-1.140,-6.576,-13.275,-0.250
-24.523,42.367,0.420,2.516,2.363,-1.099
-8.874,-20.781,-9.973,-0.358,-0.148,-0.211
-70.626,-4.904,-4.247,0.470,4.948,-0.411
-66.814,12.116,-0.870,1.067,9.434,-0.337
56.987,-36.779,14.189,-2.505,-3.157,1.066
-6.486,46.137,21.333,2.973,-0.093,-0.000
-7.276,37.066,-3.449,2.843,-0.780,-0.100
-73.449,3.096,-10.079,-0.998,4.612,-0.475
-60.354,23.739,-10.253,1.546,4.963,-0.693
41.797,42.123,23.408,2.410,-2.701,-0.298
-69.227,-17.433,-1.274,-2.104,6.828,-1.121
-35.766,-52.161,-4.292,-1.352,1.995,0.258
-60.920,-31.947,-3.096,-4.577,7.371,-0.713
-52.077,33.971,2.703,8.236,11.697,0.849
-6.283,-64.103,6.517,-10.285,0.227,-0.655
-63.561,-35.279,-1.762,-2.536,7.131,0.013
54.761,0.114,9.811,-0.606,-1.706,-0.358
4.344,67.717,1.016,10.875,-0.949,-0.250
60.662,-10.048,-2.976,-2.493,-17.934,0.430
50.923,-13.525,-11.996,-2.158,-0.689,-0.201
-57.921,13.438,-17.790,0.356,2.623,-0.335
22.229,-17.430,-9.388,-0.119,-0.949,-0.428
29.053,37.053,0.868,2.729,-2.109,-1.322
54.839,38.935,-6.098,4.494,-5.890,-0.092
3.799,-47.302,-15.518,-1.973,-0.268,-0.320
-14.427,-61.075,13.437,-4.511,1.482,0.999
43.208,38.570,-13.529,2.193,-5.244,-1.573
-15.282,20.898,18.871,1.195,0.896,0.250
39.465,-53.988,-2.178,-9.925,-5.866,0.262
-9.457,-64.631,-6.473,-10.821,2.750,-0.748
12.125,6.244,28.797,0.059,-0.419,2.073
-54.406,44.266,-12.931,1.914,2.630,-0.002
73.444,9.715,-3.830,-0.013,-9.237,0.205
45.319,46.107,5.993,8.842,-7.091,0.094
