velx,vely,velz,posx,posy,posz
161.420,50.699,38.905,1.316,-3.063,0.401
-4.935,-140.976,-12.372,-1.596,0.028,0.229
261.378,2.241,13.346,1.130,-7.498,-0.016
44.385,-123.134,17.750,-1.862,-0.298,-0.419
-153.722,119.872,-37.987,4.415,4.223,0.695
49.502,-194.858,1.429,-6.228,-1.210,-0.013
-175.230,-15.653,-44.636,-0.330,3.216,-0.098
155.731,148.824,-54.127,1.721,-1.820,0.298
-37.312,-206.273,-12.758,-1.345,0.278,-0.237
-189.753,15.751,-13.803,-0.050,4.654,-0.411
92.942,151.634,54.600,3.116,-2.044,-0.170
209.861,-103.253,-23.686,-0.723,-3.222,-0.049
-95.790,-113.280,28.930,-2.060,1.967,0.128
17.947,223.419,7.607,4.356,0.347,0.059
105.307,25.998,48.520,0.353,-0.216,-0.081
135.496,-168.387,-2.606,-8.665,-7.242,-0.513
48.418,223.709,-30.067,4.507,-0.857,-0.057
58.937,52.540,55.743,-0.203,-0.129,0.132
64.860,32.634,44.530,-0.004,-0.001,0.059
-68.414,221.728,-15.760,6.459,1.644,-0.044
73.085,-117.390,33.467,-3.174,-1.714,0.022
39.030,139.909,-6.369,3.558,-1.106,0.213
-173.241,149.965,9.810,10.645,11.020,-0.326
-215.279,33.973,-1.894,1.953,8.878,0.147
-81.486,145.738,-36.807,2.368,1.661,-0.028
163.726,-132.324,27.276,-4.548,-4.431,-0.068
-147.181,175.182,18.749,5.842,5.581,0.402
10.914,-189.835,-17.834,-5.659,-1.771,0.198
-188.325,0.225,-21.341,-0.285,1.633,0.268
-155.472,-152.978,-7.912,-5.455,6.106,0.220
-167.657,-45.868,25.334,-0.886,3.068,-0.085
-114.064,-212.466,-36.635,-6.335,2.235,-0.037
11.839,-184.115,30.874,-4.611,-0.484,0.051
196.103,-92.575,-0.486,-4.826,-7.172,0.225
173.432,123.867,11.188,4.893,-5.823,-0.715
-17.370,75.331,-47.062,0.142,0.210,-0.210
76.588,218.367,9.902,13.647,-4.900,0.122
193.012,-98.455,8.359,-2.746,-3.516,-0.143
-140.104,-178.518,-8.789,-7.100,4.540,-0.097
-68.481,164.349,-18.680,3.314,1.987,-0.010
-16.018,143.172,-31.771,3.016,0.931,-0.046
214.059,-180.371,-36.527,-2.549,-2.901,-0.203
232.098,-53.594,-5.159,-2.132,-11.450,0.346
-200.250,75.315,-20.284,1.708,2.713,0.096
-22.615,-199.365,-26.207,-5.530,0.677,0.346
-31.477,55.974,69.506,-0.839,0.686,-0.162
26.835,-102.352,-22.524,-1.256,-0.948,-0.619
-17.699,-225.256,5.110,-7.686,0.440,-0.293
-58.463,-97.287,-7.409,-1.347,0.650,-0.046
-5.414,112.334,-64.883,2.877,1.274,0.150
-117.768,-183.523,29.720,-5.371,2.661,0.283
-231.629,-73.328,-35.688,-1.651,3.346,0.432
228.045,-79.511,-13.959,-2.141,-4.664,0.337
59.951,177.826,-27.191,2.326,-1.038,-0.133
-34.397,-31.223,94.691,-0.198,-0.277,0.076
151.544,-118.927,-6.107,-4.489,-3.363,-0.252
209.630,7.966,-36.349,-0.408,-5.378,-0.044
-56.133,190.028,3.969,3.731,0.384,0.016
-59.793,227.381,-0.174,10.341,2.918,-0.380
195.661,-160.231,31.897,-4.170,-4.844,-0.140
22.571,68.825,-104.411,1.782,-0.106,0.126
