velx,vely,velz,posx,posy,posz
51.770,95.489,-24.611,3.457,-1.877,-0.277
-106.673,-73.011,-29.006,-0.631,2.833,0.131
-81.308,-73.280,1.072,-1.191,0.379,-0.233
-22.995,128.660,6.137,3.439,1.111,-0.368
37.678,43.431,-30.859,0.112,-0.486,0.004
-134.849,-34.044,2.494,-1.711,7.624,-0.324
131.214,29.409,-31.298,0.703,-3.124,0.052
66.369,-121.292,18.449,-6.799,-3.490,0.081
134.202,12.375,-4.726,0.109,-7.314,0.199
107.568,10.794,-56.400,-0.720,-1.047,0.104
-16.382,30.757,5.772,0.270,0.843,-0.259
-85.290,-37.527,95.773,-0.867,1.493,-0.175
65.250,45.865,-28.095,0.600,-1.471,-0.350
141.588,45.891,-24.160,0.106,-1.135,0.077
71.704,-18.401,36.909,-0.636,-1.115,-0.341
66.668,101.052,19.738,-0.136,-0.744,-0.152
-51.652,81.311,-3.079,2.706,1.436,-0.459
79.145,72.580,-32.591,1.814,-2.130,0.218
49.056,-92.693,9.103,-3.957,-2.033,0.233
-99.423,57.955,-1.126,1.769,3.233,-0.139
90.446,130.166,11.222,5.210,-3.335,-0.164
24.094,134.346,18.472,2.426,0.197,-0.020
-47.159,93.380,-29.886,1.172,0.864,-0.216
14.189,-81.094,11.681,-0.876,-0.164,0.043
69.876,116.202,-20.368,4.060,-3.043,0.158
-143.074,-48.928,25.816,-1.045,3.960,-0.099
-141.641,40.106,0.091,0.934,2.304,-0.109
4.296,-122.017,-20.934,-1.413,0.642,0.171
16.364,-68.976,35.203,0.075,0.343,0.098
30.976,-14.093,27.530,-0.340,-1.164,0.044
103.164,-78.579,9.490,-5.685,-7.321,-0.406
-99.884,77.779,34.975,1.998,2.874,0.077
117.295,66.393,-16.585,0.927,-1.640,0.371
-78.345,-106.360,-1.671,-1.322,1.615,-0.070
40.636,60.117,-6.689,1.474,-2.128,-0.132
-12.404,-142.062,-28.101,-2.880,0.830,-0.145
6.215,86.737,53.719,0.575,0.354,-0.376
-105.425,-69.025,16.011,-2.335,2.869,-0.127
-8.915,-142.651,1.055,-1.519,-0.608,0.015
67.844,115.851,77.087,1.511,-0.815,-0.124
-99.814,95.553,-61.964,0.502,0.585,-0.443
26.789,127.494,-30.858,2.722,-0.940,0.085
-73.619,-87.480,-65.524,-0.998,0.938,0.003
-63.431,-33.406,27.397,-0.227,1.341,-0.190
132.212,-2.605,6.644,-0.057,-11.513,-0.254
-25.760,-108.506,12.666,-1.396,1.215,-0.146
-142.584,14.913,33.684,-0.450,3.758,0.111
